,contributor_state,recipient_state,count,sum
1780,WA,MT,29281,805283.05
1781,WI,MT,6092,97244.25
1782,WV,MT,1020,13067.1
1783,WY,MT,1716,91606.69
1784,YT,MT,5,310.0
1785,ZZ,MT,768,27384.27
1786,AA,NC,6,39.86
1787,AB,NC,2,9.22
1788,AE,NC,31,245.78
1789,AK,NC,125,2640.07
1790,AL,NC,338,4854.53
1791,AP,NC,13,97.15
1792,AR,NC,130,2079.33
1793,AZ,NC,737,6951.87
1794,BC,NC,29,3153.15
1795,CA,NC,19045,854726.91
1796,CO,NC,1504,41771.06
1797,CT,NC,1226,76046.54
1798,DC,NC,2543,179073.51
1799,DE,NC,147,10078.39
1800,FL,NC,1819,148239.45
1801,GA,NC,1117,44223.84
1802,GU,NC,1,10.0
1803,HI,NC,260,15280.73
1804,IA,NC,287,4160.65
1805,ID,NC,138,2649.71
1806,IL,NC,3351,102721.9
1807,IN,NC,513,10926.58
1808,KS,NC,187,2021.65
1809,KY,NC,254,3398.27
1810,LA,NC,276,11478.91
1811,MA,NC,6081,298629.86
1812,MD,NC,2600,164051.11
1813,ME,NC,305,10896.98
1814,MI,NC,1284,66114.4
1815,MN,NC,1165,28879.22
1816,MO,NC,511,7696.95
1817,MS,NC,65,1310.68
1818,MT,NC,90,1259.43
1819,NC,NC,28678,3406672.0
1820,ND,NC,27,335.42
1821,NE,NC,122,957.92
1822,NH,NC,299,7772.85
1823,NJ,NC,2102,94568.86
1824,NM,NC,454,20789.6
1825,NS,NC,1,3.64
1826,NV,NC,193,2975.5
1827,NY,NC,10674,728425.51
1828,OH,NC,1187,23578.84
1829,OK,NC,154,18649.73
1830,ON,NC,40,484.69
1831,OR,NC,2081,35469.81
1832,PA,NC,2458,55928.75
1833,PE,NC,1,4.38
1834,PR,NC,9,135.61
1835,QC,NC,17,39.35
1836,RI,NC,358,13381.53
1837,SC,NC,500,29445.82
1838,SD,NC,34,3687.76
1839,TN,NC,497,18546.34
1840,TX,NC,2347,83738.99
1841,UT,NC,332,13379.31
1842,VA,NC,2538,87998.85
1843,VI,NC,5,237.74
1844,VT,NC,387,9471.77
1845,WA,NC,3844,90030.66
1846,WI,NC,638,8923.65
1847,WV,NC,73,1118.83
1848,WY,NC,59,4700.27
1849,ZZ,NC,315,9162.49
1850,,NC,2,102.78
1851,AA,ND,27,2418.75
1852,AB,ND,25,1707.0
1853,AE,ND,125,3827.35
1854,AK,ND,1189,48288.83
1855,AL,ND,1783,49865.85
1856,AP,ND,48,2171.63
1857,AR,ND,1139,36039.52
1858,AS,ND,6,116.0
1859,AZ,ND,7550,222008.08
1860,BC,ND,66,1563.59
1861,CA,ND,112005,4787093.45
1862,CO,ND,13372,504124.06
1863,CT,ND,10097,429775.2
1864,DC,ND,7776,781014.84
1865,DE,ND,1541,43081.67
1866,FL,ND,17793,595169.73
1867,GA,ND,6324,199264.6
1868,GU,ND,16,242.87
1869,HI,ND,2349,80088.29
1870,IA,ND,2776,73323.08
1871,ID,ND,1423,44827.93
1872,IL,ND,22008,892839.89
1873,IN,ND,3573,91360.47
1874,KS,ND,1938,54253.33
1875,KY,ND,2312,61851.07
1876,LA,ND,1802,58967.28
1877,MA,ND,27137,1322261.13
1878,MB,ND,6,42.5
1879,MD,ND,15015,841224.19
1880,ME,ND,3238,117754.66
1881,MI,ND,10209,278198.01
1882,MN,ND,13808,511296.78
1883,MO,ND,4074,101386.3
1884,MP,ND,4,85.0
1885,MS,ND,478,17415.05
1886,MT,ND,1862,64578.46
1887,NB,ND,4,62.5
1888,NC,ND,8607,255583.12
1889,ND,ND,9041,784787.16
1890,NE,ND,1396,40138.07
1891,NH,ND,3087,100114.75
1892,NJ,ND,14559,500373.42
1893,NL,ND,1,14.28
1894,NM,ND,4961,151797.07
1895,NS,ND,3,13.5
1896,NV,ND,2640,92295.06
1897,NY,ND,54811,2934693.68
1898,OH,ND,7889,221415.38
1899,OK,ND,1654,61744.21
1900,ON,ND,69,2243.09
1901,OR,ND,15268,423134.57
1902,PA,ND,15534,551755.29
1903,PR,ND,82,1340.63
1904,QC,ND,23,331.13
1905,RI,ND,2022,63994.32
1906,SC,ND,2545,88190.64
1907,SD,ND,1092,39097.58
1908,SK,ND,4,60.0
1909,TN,ND,3874,117932.64
1910,TX,ND,16999,745461.66
1911,UK,ND,1,2.78
1912,UT,ND,1879,70922.68
1913,VA,ND,14868,664634.93
1914,VI,ND,77,3034.0
1915,VT,ND,2856,100243.19
1916,WA,ND,25682,1022460.1
1917,WI,ND,6238,169368.55
1918,WV,ND,1417,26708.56
1919,WY,ND,577,29568.85
1920,ZZ,ND,709,42457.69
1921,,ND,1,20.0
1922,AA,NE,10,118.53
1923,AB,NE,8,68.36
1924,AE,NE,34,168.95
1925,AK,NE,284,2641.24
1926,AL,NE,386,2058.39
1927,AP,NE,16,64.61
1928,AR,NE,258,934.94
1929,AS,NE,2,4.0
1930,AZ,NE,1591,18524.03
1931,BC,NE,37,684.13
1932,CA,NE,26652,427482.14
1933,CO,NE,2477,24979.48
1934,CT,NE,1544,14820.01
1935,DC,NE,2130,90835.85
1936,DE,NE,284,1180.68
1937,FL,NE,3362,37290.24
1938,GA,NE,1278,6534.14
1939,GU,NE,6,69.83
1940,HI,NE,561,4998.09
1941,IA,NE,592,7163.18
1942,ID,NE,268,1285.96
1943,IL,NE,4954,68617.64
1944,IN,NE,785,4295.84
1945,KS,NE,579,3960.13
1946,KY,NE,526,3674.04
1947,LA,NE,419,5083.69
1948,MA,NE,6763,143802.09
1949,MB,NE,1,5.0
1950,MD,NE,3311,83434.8
1951,ME,NE,529,7320.95
1952,MI,NE,2012,10949.4
1953,MN,NE,2002,13594.13
1954,MO,NE,1107,5875.34
1955,MP,NE,2,58.32
1956,MS,NE,97,663.16
1957,MT,NE,243,2144.56
1958,NC,NE,2138,14651.88
1959,ND,NE,60,302.08
1960,NE,NE,19769,1292809.01
1961,NH,NE,574,4229.96
1962,NJ,NE,2884,20249.1
1963,NM,NE,1068,7918.96
1964,NS,NE,2,14.42
1965,NV,NE,489,5458.47
1966,NY,NE,12758,235921.47
1967,OH,NE,1816,10542.01
1968,OK,NE,316,2002.32
1969,ON,NE,42,312.51
1970,OR,NE,4144,30834.44
1971,PA,NE,3364,29069.44
1972,PR,NE,20,405.69
1973,QC,NE,8,17.35
1974,RI,NE,413,5130.19
1975,SC,NE,486,4788.81
1976,SD,NE,155,8153.97
1977,TN,NE,770,8551.74
1978,TX,NE,3618,25578.91
1979,UK,NE,1,2.78
1980,UT,NE,391,5522.77
1981,VA,NE,2935,44133.02
1982,VI,NE,15,65.61
1983,VT,NE,668,5116.54
1984,WA,NE,5976,69503.72
1985,WI,NE,1219,7671.51
1986,WV,NE,165,924.0
1987,WY,NE,93,3132.94
1988,ZZ,NE,278,2037.04
1989,,NE,1,2.14
1990,AA,NH,3,21.0
1991,AB,NH,2,25.0
1992,AE,NH,38,1829.59
1993,AK,NH,208,2362.72
1994,AL,NH,347,6351.24
1995,AP,NH,16,218.0
1996,AR,NH,239,4729.82
1997,AS,NH,1,12.5
1998,AZ,NH,1038,28523.75
1999,BC,NH,26,707.84
2000,CA,NH,14514,570396.15
2001,CO,NH,1719,27128.7
2002,CT,NH,2435,89797.89
2003,DC,NH,1303,171124.7
2004,DE,NH,232,3571.1
2005,FL,NH,3461,109618.82
2006,GA,NH,1056,19574.01
2007,GU,NH,1,12.5
2008,HI,NH,352,4820.69
2009,IA,NH,298,3189.69
2010,ID,NH,298,2849.66
2011,IL,NH,2871,217704.51
2012,IN,NH,516,6274.27
2013,KS,NH,319,4275.64
2014,KY,NH,284,2768.86
2015,LA,NH,333,6327.49
2016,MA,NH,10852,971148.02
2017,MD,NH,2170,99652.42
2018,ME,NH,1104,46739.05
2019,MI,NH,1521,19564.38
2020,MN,NH,1061,20923.51
2021,MO,NH,907,22490.31
2022,MP,NH,1,5.0
2023,MS,NH,72,748.12
2024,MT,NH,178,2614.55
2025,NB,NH,1,1.0
2026,NC,NH,1351,16287.29
2027,ND,NH,85,1112.17
2028,NE,NH,184,8238.39
2029,NH,NH,20583,1358036.89
2030,NJ,NH,2087,66506.29
2031,NL,NH,1,25.0
2032,NM,NH,934,13770.08
2033,NV,NH,599,17032.76
2034,NY,NH,9584,517287.58
2035,OH,NH,1321,31846.39
2036,OK,NH,287,3365.87
2037,ON,NH,25,230.75
2038,OR,NH,2812,27708.4
2039,PA,NH,2688,42696.31
2040,PR,NH,25,5627.45
2041,QC,NH,4,137.5
2042,RI,NH,583,30840.42
2043,SC,NH,364,10877.62
2044,SD,NH,54,684.26
2045,SK,NH,1,5.0
2046,TN,NH,673,10979.5
2047,TX,NH,3042,52543.37
2048,UT,NH,309,3749.42
2049,VA,NH,2371,89730.87
2050,VI,NH,21,303.5
2051,VT,NH,1149,60134.47
2052,WA,NH,3307,37460.67
2053,WI,NH,859,13260.47
2054,WV,NH,247,1616.05
2055,WY,NH,70,4270.62
2056,ZZ,NH,181,19471.9
2057,,NH,1,2.78
2058,AA,NJ,11,340.96
2059,AB,NJ,8,471.0
2060,AE,NJ,113,5669.43
2061,AK,NJ,454,6868.23
2062,AL,NJ,788,14436.04
2063,AP,NJ,61,3313.08
2064,AR,NJ,586,9404.13
2065,AS,NJ,1,2.0
2066,AZ,NJ,3100,67547.98
2067,BC,NJ,21,75.61
2068,BS,NJ,1,25.0
2069,CA,NJ,43630,2157174.95
2070,CO,NJ,4788,137548.3
2071,CT,NJ,3740,236446.01
2072,DC,NJ,5438,837976.83
2073,DE,NJ,761,31117.15
2074,FL,NJ,8327,357848.16
2075,FR,NJ,1,120.0
2076,GA,NJ,3143,95720.21
2077,GU,NJ,9,78.85
2078,HI,NJ,887,18666.18
2079,IA,NJ,1022,10452.14
2080,ID,NJ,511,11577.14
2081,IL,NJ,7811,317866.77
2082,IN,NJ,1603,45673.52
2083,KS,NJ,772,14502.33
2084,KY,NJ,936,15762.24
2085,LA,NJ,847,21114.54
2086,MA,NJ,13574,677894.8
2087,MB,NJ,3,13.7
2088,MD,NJ,7423,596953.63
2089,ME,NJ,888,28213.65
2090,MI,NJ,3840,54042.08
2091,MN,NJ,2619,37496.47
2092,MO,NJ,2025,34518.45
2093,MP,NJ,1,1.67
2094,MS,NJ,238,5177.64
2095,MT,NJ,422,11355.36
2096,NC,NJ,4100,82892.49
2097,ND,NJ,122,855.95
2098,NE,NJ,557,7312.79
2099,NH,NJ,990,25627.92
2100,NJ,NJ,105612,7845485.04
2101,NL,NJ,1,10.0
2102,NM,NJ,1758,39356.95
2103,NS,NJ,2,11.92
2104,NV,NJ,1210,33533.22
2105,NY,NJ,33651,3101671.25
2106,OH,NJ,3282,59317.71
2107,OK,NJ,632,10867.19
2108,ON,NJ,56,882.56
2109,OR,NJ,5772,87633.73
2110,PA,NJ,8993,389073.54
2111,PR,NJ,68,26947.83
2112,QC,NJ,10,45.85
2113,RI,NJ,745,26492.17
2114,SC,NJ,1205,48860.22
2115,SD,NJ,212,5935.19
2116,SH,NJ,1,25.0
2117,TN,NJ,1604,39172.42
2118,TX,NJ,8241,275079.49
2119,UT,NJ,888,26260.77
2120,VA,NJ,6277,346584.96
2121,VI,NJ,24,943.17
2122,VT,NJ,1121,25922.5
2123,WA,NJ,9034,219773.18
2124,WI,NJ,2119,23092.77
2125,WV,NJ,341,10056.62
2126,WY,NJ,207,12580.69
2127,ZZ,NJ,415,36551.62
2128,,NJ,6,235.56
2129,AA,NM,29,710.41
2130,AB,NM,12,179.7
2131,AE,NM,71,871.82
2132,AK,NM,336,18435.68
2133,AL,NM,307,4494.28
2134,AP,NM,11,55.98
2135,AR,NM,248,6710.23
2136,AZ,NM,1952,63804.24
2137,BC,NM,31,709.11
2138,CA,NM,24701,1495049.73
2139,CO,NM,3223,104700.4
2140,CT,NM,1789,85970.25
2141,DC,NM,2676,352432.01
2142,DE,NM,261,8691.77
2143,FL,NM,3022,93130.37
2144,GA,NM,1237,37135.23
2145,GU,NM,1,2.09
2146,HI,NM,515,33244.6
2147,IA,NM,424,6613.04
2148,ID,NM,302,7015.89
2149,IL,NM,3855,123827.85
2150,IN,NM,730,9332.6
2151,KS,NM,524,7671.94
2152,KY,NM,474,10305.13
2153,LA,NM,365,11457.66
2154,MA,NM,6097,267224.01
2155,MB,NM,2,10.0
2156,MD,NM,3108,225328.7
2157,ME,NM,661,16798.76
2158,MI,NM,1892,29934.56
2159,MN,NM,1889,34898.87
2160,MO,NM,958,27026.45
2161,MP,NM,1,10.0
2162,MS,NM,88,5199.71
2163,MT,NM,366,5990.1
2164,NC,NM,1726,25042.76
2165,ND,NM,73,1327.23
2166,NE,NM,215,4373.71
2167,NH,NM,608,10397.44
2168,NJ,NM,2495,67783.87
2169,NM,NM,65725,3056182.2
2170,NS,NM,4,39.14
2171,NV,NM,532,27110.6
2172,NY,NM,11238,624783.54
2173,OH,NM,1475,25040.3
2174,OK,NM,472,22015.39
2175,ON,NM,28,843.99
2176,OR,NM,3639,83911.04
2177,PA,NM,3009,63617.53
2178,PR,NM,68,935.75
2179,QC,NM,9,325.72
2180,RI,NM,448,9963.91
2181,SC,NM,438,7690.98
2182,SD,NM,110,7247.69
2183,SH,NM,1,25.0
2184,SK,NM,1,25.0
2185,TN,NM,677,15367.05
2186,TX,NM,3913,208206.57
2187,UT,NM,633,35700.52
2188,VA,NM,2851,159159.48
2189,VI,NM,16,685.0
2190,VT,NM,568,15719.25
2191,WA,NM,4786,122499.28
2192,WI,NM,1074,15479.34
2193,WV,NM,174,3450.58
2194,WY,NM,273,20368.51
2195,ZZ,NM,351,20299.4
2196,,NM,1,100.0
2197,AA,NV,29,1676.27
2198,AB,NV,27,251.8
2199,AE,NV,145,3747.56
2200,AK,NV,1499,38280.82
2201,AL,NV,1389,29832.03
2202,AP,NV,91,1815.15
2203,AR,NV,1232,31819.83
2204,AS,NV,9,59.77
2205,AZ,NV,8812,218181.06
2206,BC,NV,131,2887.29
2207,CA,NV,130754,6073095.39
2208,CO,NV,12348,352365.42
2209,CT,NV,10438,371582.06
2210,DC,NV,6890,714175.44
2211,DE,NV,1381,29585.43
2212,FL,NV,17918,476769.63
2213,GA,NV,6185,164275.15
2214,GU,NV,34,479.45
2215,HE,NV,1,5.0
2216,HI,NV,3219,97263.57
2217,IA,NV,2039,34292.63
2218,ID,NV,1897,41008.83
2219,IL,NV,18214,674931.26
2220,IN,NV,3133,64767.92
2221,KS,NV,1867,36845.86
2222,KY,NV,2103,37627.4
2223,LA,NV,2029,51194.0
2224,MA,NV,28909,1424268.76
2225,MB,NV,12,51.27
2226,MD,NV,14496,708492.48
2227,ME,NV,2574,61226.88
2228,MI,NV,9387,187162.28
2229,MN,NV,7063,159059.42
2230,MO,NV,4198,79528.26
2231,MP,NV,10,118.75
2232,MS,NV,505,17892.66
2233,MT,NV,1079,23373.76
2234,NB,NV,1,5.0
2235,NC,NV,7811,164355.52
2236,ND,NV,279,3808.87
2237,NE,NV,1003,17819.12
2238,NH,NV,2759,60210.46
2239,NJ,NV,13798,450130.41
2240,NL,NV,1,14.29
2241,NM,NV,5661,174825.55
2242,NS,NV,10,316.0
2243,NT,NV,4,29.17
2244,NV,NV,38295,2770467.66
2245,NY,NV,56145,2819313.02
2246,OH,NV,7100,142839.77
2247,OK,NV,1698,37791.29
2248,ON,NV,91,1399.12
2249,OR,NV,18129,406084.15
2250,PA,NV,14435,381040.77
2251,PR,NV,109,1328.53
2252,QC,NV,9,52.98
2253,RI,NV,1940,61368.68
2254,SC,NV,2258,81098.97
2255,SD,NV,481,9857.95
2256,SK,NV,3,102.0
2257,TN,NV,3606,99944.63
2258,TX,NV,17355,503167.8
2259,UK,NV,1,2.77
2260,UT,NV,2679,87414.52
2261,VA,NV,12366,469107.06
2262,VI,NV,50,1205.34
2263,VT,NV,2748,90079.8
2264,WA,NV,24904,831197.85
2265,WI,NV,4544,84674.61
2266,WV,NV,1288,14234.56
2267,WY,NV,537,51358.65
2268,YT,NV,8,795.0
2269,ZZ,NV,1067,38780.87
2270,,NV,11,405.55
2271,AA,NY,52,1643.64
2272,AB,NY,13,153.79
2273,AE,NY,153,4663.14
2274,AK,NY,1342,25157.83
2275,AL,NY,2047,35265.24
2276,AP,NY,81,1206.62
2277,AR,NY,1496,34889.96
2278,AS,NY,17,279.0
2279,AZ,NY,9678,183806.06
2280,BC,NY,94,6651.36
2281,CA,NY,101312,4907250.96
2282,CO,NY,11611,271324.55
2283,CT,NY,12196,710845.42
2284,DC,NY,8296,833452.91
2285,DE,NY,1503,33541.84
2286,FL,NY,23330,768212.67
2287,GA,NY,7411,202697.4
2288,GU,NY,51,851.46
2289,HI,NY,2203,56271.21
2290,IA,NY,2548,48097.63
2291,ID,NY,1611,27271.62
2292,IL,NY,18833,786996.65
2293,IN,NY,4772,282167.11
2294,KS,NY,2522,40965.83
2295,KY,NY,2656,52948.08
2296,LA,NY,2316,82532.91
2297,MA,NY,31280,1477597.67
2298,MB,NY,4,10.71
2299,MD,NY,14939,598040.06
2300,ME,NY,3144,71359.73
2301,MI,NY,11191,173129.97
2302,MN,NY,7306,124838.91
2303,MO,NY,5060,101478.63
2304,MP,NY,8,149.59
2305,MS,NY,629,14382.66
2306,MT,NY,1309,37464.33
2307,NC,NY,11134,274014.31
2308,ND,NY,345,6197.01
2309,NE,NY,1489,30451.7
2310,NH,NY,3149,77752.37
2311,NJ,NY,20590,994213.56
2312,NL,NY,2,16.11
2313,NM,NY,4626,78438.17
2314,NS,NY,6,46.64
2315,NV,NY,3177,71049.17
2316,NY,NY,314355,22463954.64
2317,OH,NY,9452,176386.82
2318,OK,NY,2368,50761.83
2319,ON,NY,129,3167.95
2320,OR,NY,13800,203577.17
2321,PA,NY,18675,456987.86
2322,PE,NY,1,50.0
2323,PR,NY,172,15721.58
2324,QC,NY,47,562.32
2325,RI,NY,2190,62064.45
2326,SC,NY,3660,91925.12
2327,SD,NY,641,13431.4
2328,TN,NY,5042,154779.91
2329,TX,NY,20980,622026.25
2330,UK,NY,1,5.0
2331,UT,NY,2583,72778.86
2332,VA,NY,14972,525079.6
2333,VI,NY,114,3421.16
2334,VT,NY,3511,101322.27
2335,WA,NY,21250,485176.4
2336,WI,NY,5853,97630.77
2337,WV,NY,1206,21275.46
2338,WY,NY,539,17874.42
2339,ZZ,NY,1540,140231.38
2340,,NY,16,888.55
2341,AA,OH,39,745.22
2342,AB,OH,19,153.33
2343,AE,OH,134,2838.58
2344,AK,OH,1558,27384.56
2345,AL,OH,2505,35407.94
2346,AP,OH,57,557.98
2347,AR,OH,1859,32142.78
2348,AS,OH,2,28.5
2349,AZ,OH,11572,161939.53
2350,BC,OH,165,8791.15
2351,CA,OH,140121,4038884.55
2352,CO,OH,14216,264389.82
2353,CT,OH,10907,319261.48
2354,DC,OH,7984,566536.06
2355,DE,OH,2192,29450.14
2356,FL,OH,28031,584791.75
2357,GA,OH,8953,140330.24
2358,GU,OH,22,350.09
2359,HI,OH,3526,60378.74
2360,IA,OH,3341,43106.47
2361,ID,OH,1734,27624.01
2362,IL,OH,25386,567329.64
2363,IN,OH,5999,90226.65
2364,KS,OH,2230,31798.94
2365,KY,OH,4071,92274.88
2366,LA,OH,3059,67325.21
2367,MA,OH,34845,1043848.11
2368,MB,OH,40,186.0
2369,MD,OH,16964,658505.77
2370,ME,OH,3475,59945.24
2371,MI,OH,13545,212591.29
2372,MN,OH,9692,131808.06
2373,MO,OH,5997,88860.93
2374,MS,OH,742,12306.44
2375,MT,OH,1381,22502.56
2376,NB,OH,3,17.5
2377,NC,OH,11439,183422.13
2378,ND,OH,323,6131.63
2379,NE,OH,1391,29646.41
2380,NH,OH,2926,61634.06
2381,NJ,OH,19035,340840.2
2382,NL,OH,1,25.0
2383,NM,OH,6918,118933.88
2384,NS,OH,9,112.5
2385,NT,OH,9,145.0
2386,NV,OH,3969,91698.05
2387,NY,OH,70851,2472874.29
2388,OH,OH,185185,7937027.16
2389,OK,OH,2283,32756.37
2390,ON,OH,206,5399.57
2391,OR,OH,18006,259539.26
2392,PA,OH,22553,409852.93
2393,PE,OH,3,27.74
2394,PR,OH,181,2308.13
2395,QC,OH,48,453.42
2396,RI,OH,2831,61045.64
2397,SC,OH,3527,70059.32
2398,SD,OH,648,9636.24
2399,SK,OH,3,61.0
2400,TN,OH,5394,89590.52
2401,TX,OH,24548,576082.57
2402,UT,OH,2358,57776.88
2403,VA,OH,15620,395677.4
2404,VI,OH,60,1862.12
2405,VT,OH,2955,56899.99
2406,WA,OH,25777,490679.33
2407,WI,OH,7018,94255.65
2408,WV,OH,2275,26566.12
2409,WY,OH,558,22587.51
2410,YT,OH,5,250.0
2411,ZZ,OH,1270,34381.7
2412,,OH,25,2630.65
2413,AA,OK,1,2.5
2414,AE,OK,2,6.0
2415,AK,OK,12,28.03
2416,AL,OK,80,1575.58
2417,AP,OK,1,1.0
2418,AR,OK,27,703.43
2419,AZ,OK,76,696.46
2420,BC,OK,9,27.56
2421,CA,OK,2076,79900.26
2422,CO,OK,187,5303.61
2423,CT,OK,137,5793.56
2424,DC,OK,216,7450.04
2425,DE,OK,9,9.19
2426,FL,OK,178,1822.85
2427,GA,OK,98,4019.3
2428,HI,OK,44,551.09
2429,IA,OK,34,293.09
2430,ID,OK,17,579.95
2431,IL,OK,337,4271.7
2432,IN,OK,66,2960.44
2433,KS,OK,30,226.72
2434,KY,OK,27,803.85
2435,LA,OK,34,409.23
2436,MA,OK,582,12530.75
2437,MD,OK,184,8800.93
2438,ME,OK,21,49.0
2439,MI,OK,118,401.78
2440,MN,OK,111,8368.24
2441,MO,OK,64,1895.06
2442,MS,OK,6,59.0
2443,MT,OK,6,254.0
2444,NC,OK,152,1943.11
2445,ND,OK,2,2.0
2446,NE,OK,7,159.0
2447,NH,OK,19,27.56
2448,NJ,OK,185,1178.67
2449,NM,OK,45,3965.17
2450,NV,OK,17,230.94
2451,NY,OK,950,25758.67
2452,OH,OK,103,1216.8
2453,OK,OK,4881,516126.24
2454,ON,OK,8,8.0
2455,OR,OK,216,1942.39
2456,PA,OK,320,3488.83
2457,QC,OK,7,7.0
2458,RI,OK,36,78.26
2459,SC,OK,28,2655.86
2460,SD,OK,2,1001.0
2461,TN,OK,40,691.94
2462,TX,OK,307,8547.63
2463,UT,OK,33,81.44
2464,VA,OK,358,6758.31
2465,VT,OK,24,242.99
2466,WA,OK,501,6403.2
2467,WI,OK,49,190.45
2468,WV,OK,9,9.0
2469,WY,OK,7,8.22
2470,ZZ,OK,30,568.12
2471,AA,OR,6,355.0
2472,AB,OR,3,15.0
2473,AE,OR,18,374.66
2474,AK,OR,524,9562.98
2475,AL,OR,408,6187.11
2476,AP,OR,22,316.0
2477,AR,OR,283,3287.24
2478,AS,OR,9,125.0
2479,AZ,OR,2328,28444.16
2480,BC,OR,42,337.66
2481,CA,OR,23757,379657.15
2482,CO,OR,2960,40722.86
2483,CT,OR,1910,28414.97
2484,DC,OR,875,84038.74
2485,DE,OR,222,2894.75
2486,FL,OR,3904,66351.93
2487,GA,OR,1256,15454.05
2488,GU,OR,2,26.0
2489,HI,OR,708,10358.64
2490,IA,OR,643,9802.66
2491,ID,OR,747,8592.4
2492,IL,OR,3105,64356.81
2493,IN,OR,805,14522.96
2494,KS,OR,547,8928.57
2495,KY,OR,496,5035.11
2496,LA,OR,433,4818.18
2497,MA,OR,5702,92561.39
2498,MD,OR,2400,65770.05
2499,ME,OR,763,11779.93
2500,MI,OR,2237,26557.85
2501,MN,OR,1151,14925.46
2502,MO,OR,1149,19950.5
2503,MS,OR,77,812.0
2504,MT,OR,461,5906.52
